model,model_id,split,problem_idx,variant,original_answer,predicted_answer,is_correct_exact,input_tokens,output_tokens,error
deepseek,deepseek/deepseek-r1,AIME24,27,original,73,73,True,172,4492,
grok,x-ai/grok-4,AIME24,13,original,699,699,True,819,9033,
grok,x-ai/grok-4,AIME24,10,original,80,,False,0,0,
grok,x-ai/grok-4,AIME24,25,original,197,197,True,840,10229,
grok,x-ai/grok-4,AIME24,5,original,211,211,True,877,17443,
grok,x-ai/grok-4,AIME24,4,original,371,,False,0,0,
grok,x-ai/grok-4,AIME24,16,original,385,,False,0,0,
deepseek,deepseek/deepseek-r1,AIME24,18,original,721,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,19,original,25,25,True,117,4535,
deepseek,deepseek/deepseek-r1,AIME24,23,original,294,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,29,original,601,601,True,145,11485,
deepseek,deepseek/deepseek-r1,AIME24,21,original,116,116,True,192,6423,
deepseek,deepseek/deepseek-r1,AIME24,1,original,113,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,4,original,371,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,28,original,468,468,True,119,4978,
deepseek,deepseek/deepseek-r1,AIME24,2,original,23,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,5,original,211,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,6,original,315,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,7,original,236,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,10,original,80,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,12,original,104,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,13,original,699,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,14,original,127,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,15,original,902,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,16,original,385,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,22,original,104,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,25,original,197,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,26,original,480,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
deepseek,deepseek/deepseek-r1,AIME24,17,original,110,,False,0,0,HTTP 403: Key limit exceeded (total limit). Manage it using https://openrouter.ai/settings/keys
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,2,original,106,106,True,297,986,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,2,edge_deletion,106,19,False,193,891,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,0,original,70,70,True,112,931,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,0,edge_deletion,70,202,False,113,1099,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,1,original,588,1008,False,240,1226,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,2,node_deletion,106,33,False,178,1324,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,1,edge_deletion,588,546,False,226,1279,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,1,node_deletion,588,34,False,112,1106,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,3,original,336,624,False,784,1172,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,3,node_deletion,336,420,False,305,1136,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,4,original,293,293,True,919,1309,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,3,edge_deletion,336,720,False,317,1314,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,0,node_deletion,70,58,False,114,2566,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,4,node_deletion,293,445,False,330,1312,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,5,original,237,60670,False,173,1400,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,4,edge_deletion,293,601,False,311,1262,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,5,edge_deletion,237,11,False,174,1523,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,6,original,610,660,False,372,1379,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,5,node_deletion,237,29,False,171,1922,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,7,original,149,149,True,179,1328,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,6,edge_deletion,610,100,False,237,1242,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,7,node_deletion,149,9,False,192,1101,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,8,original,907,142,False,146,1053,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,6,node_deletion,610,990,False,236,1166,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,7,edge_deletion,149,2b(2a+1),False,191,1250,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,8,node_deletion,907,609,False,141,1064,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,8,edge_deletion,907,9,False,143,1077,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,9,node_deletion,113,513,False,144,1049,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,9,original,113,1209600,False,135,1229,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,9,edge_deletion,113,15,False,124,1105,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,10,original,19,19,True,364,1775,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,10,node_deletion,19,48,False,318,1430,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,10,edge_deletion,19,51,False,323,1515,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,11,node_deletion,248,1,False,216,1294,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,11,original,248,628,False,227,1447,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,11,edge_deletion,248,616,False,205,1259,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,12,original,259,71,False,306,1309,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,12,node_deletion,259,16,False,298,1354,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,12,edge_deletion,259,10,False,319,1270,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,14,edge_deletion,240,a + b + c,False,179,1125,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,13,original,104,266,False,184,1442,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,15,original,117,117,True,137,1063,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,13,node_deletion,104,361,False,181,1428,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,14,node_deletion,240,a + b + c,False,180,1101,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,14,original,240,376,False,163,1284,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,15,node_deletion,117,401,False,155,930,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,13,edge_deletion,104,361,False,162,1204,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,15,edge_deletion,117,40401,False,149,911,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,17,original,504,504,True,165,911,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,16,original,279,2583,False,150,1528,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,16,edge_deletion,279,2583,False,152,1413,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,19,original,77,46,False,189,1328,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,16,node_deletion,279,2583,False,151,1342,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,17,edge_deletion,504,8\rho^2,False,144,1557,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,18,original,821,7,False,222,1109,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,17,node_deletion,504,144,False,155,1570,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,18,edge_deletion,821,7,False,222,1223,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,18,node_deletion,821,949,False,222,1490,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,19,edge_deletion,77,41,False,179,1197,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,20,original,62,8,False,195,1538,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,22,original,16,16,True,195,885,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,20,edge_deletion,62,40,False,190,1334,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,20,node_deletion,62,10,False,175,1399,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,21,original,81,95,False,378,1289,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,21,node_deletion,81,2903040,False,287,1078,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,21,edge_deletion,81,"9! \times 3!^4 \times 2^6 / 3!^2 = 3,359,232,000",False,298,1227,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,22,edge_deletion,16,150,False,163,551,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,22,node_deletion,16,96,False,168,969,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,23,original,510,510,True,199,1282,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,23,node_deletion,510,5628,False,184,1293,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,24,edge_deletion,204,154,False,159,883,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,25,original,60,47,False,225,1035,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,23,edge_deletion,510,5628,False,184,1478,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,24,original,204,\frac{437}{3},False,163,1358,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,25,edge_deletion,60,58,False,212,953,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,25,node_deletion,60,64,False,209,1031,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,24,node_deletion,204,4 + \frac{17}{6} + \frac{1}{6} = 4 + 3 = 7,False,158,1223,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,26,original,735,147,False,157,1238,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,28,original,49,49,True,116,700,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,27,original,468,468,True,185,1022,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,26,edge_deletion,735,489,False,158,1167,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,28,edge_deletion,49,49,False,112,674,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,19,node_deletion,77,5$ means $z$ lies on a circle of radius 5 centered at some complex number $w$,False,195,4096,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,26,node_deletion,735,495,False,160,1370,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,28,node_deletion,49,11,False,127,854,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,27,edge_deletion,468,39,False,169,1143,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,27,node_deletion,468,880,False,170,1450,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,0,original,204,204,True,222,1028,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,29,original,82,24,False,367,1142,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,29,edge_deletion,82,512,False,125,1175,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME25,29,node_deletion,82,512,False,136,1239,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,0,node_deletion,204,165,False,217,1115,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,0,edge_deletion,204,165,False,219,1239,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,1,original,113,13633,False,202,1465,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,1,node_deletion,113,5,False,183,1000,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,1,edge_deletion,113,AP = \frac{2 \cdot AB \cdot AC}{BC},False,147,1125,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,2,original,23,23,True,306,1451,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,2,node_deletion,23,5,False,319,1510,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,3,original,321,192,False,143,1271,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,2,edge_deletion,23,3,False,303,1199,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,3,edge_deletion,321,3,False,161,1307,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,3,node_deletion,321,385,False,142,1338,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,4,original,371,349,False,161,1217,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,4,node_deletion,371,157,False,151,1135,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,4,edge_deletion,371,17,False,152,1215,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,5,node_deletion,211,12,False,181,760,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,5,original,211,28,False,249,1350,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,5,edge_deletion,211,12,False,186,1153,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,6,original,315,12,False,266,1114,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,6,edge_deletion,315,495,False,129,879,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,6,node_deletion,315,6,False,114,998,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,7,original,236,236,True,161,1132,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,8,original,45,45,True,222,1152,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,7,node_deletion,236,212,False,144,1141,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,7,edge_deletion,236,36,False,165,994,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,9,original,33,33,True,236,1177,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,8,edge_deletion,45,\text{The answer depends on the specific values of } R \text{ and } C,False,175,1240,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,8,node_deletion,45,100,False,138,1150,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,9,node_deletion,33,11,False,235,1162,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,9,edge_deletion,33,11,False,236,1249,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,10,original,80,80,True,142,946,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,11,original,55,55,True,144,1101,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,10,node_deletion,80,100,False,137,938,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,10,edge_deletion,80,s,False,134,1210,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,11,node_deletion,55,28,False,133,870,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,11,edge_deletion,55,28,False,134,1038,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,13,original,699,446,False,155,1279,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,13,node_deletion,699,1008,False,155,1129,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,12,edge_deletion,104,\frac{1819}{184},False,150,1297,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,13,edge_deletion,699,1008,False,162,1156,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,12,original,104,92,False,165,1494,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,12,node_deletion,104,150,False,161,1508,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,14,original,127,127,True,488,1181,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,14,edge_deletion,127,2,False,253,1170,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,15,node_deletion,902,33554432,False,161,733,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,15,original,902,1024,False,185,1191,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,14,node_deletion,127,7,False,247,1215,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,17,node_deletion,110,7,False,153,1129,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,16,node_deletion,385,32,False,165,1102,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,16,edge_deletion,385,6,False,148,1095,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,16,original,385,32,False,177,1220,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,17,edge_deletion,110,6,False,147,982,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,19,original,25,25,True,139,758,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,19,edge_deletion,25,4096,False,137,862,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,19,node_deletion,25,\frac{25}{4},False,124,964,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,15,edge_deletion,902,2407,False,165,2062,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,18,original,721,721,True,185,1454,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,18,node_deletion,721,73,False,184,1408,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,18,edge_deletion,721,7,False,189,1332,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,17,original,110,155,False,153,2589,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,20,original,809,404,False,179,1301,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,21,original,116,116,True,210,899,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,20,edge_deletion,809,674,False,173,705,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,21,node_deletion,116,11,False,199,890,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,20,node_deletion,809,674,False,147,1032,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,21,edge_deletion,116,11,False,206,1044,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,23,original,294,294,True,134,812,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,22,original,104,104,True,241,1393,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,22,node_deletion,104,9,False,216,1294,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,22,edge_deletion,104,51,False,232,1637,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,24,original,540,540,True,125,1000,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,24,edge_deletion,540,4|\alpha| + \frac{|\beta|}{4},False,133,974,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,23,node_deletion,294,"N(n,k) = 2\binom{n-1}{\lfloor k/2 \rfloor}\binom{n-1}{\lceil k/2 \rceil}",False,125,1208,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,23,edge_deletion,294,12868,False,128,1097,
sonnet-4.5,us.anthropic.claude-sonnet-4-5-20250929-v1:0,AIME24,24,node_deletion,540,225,False,118,1619,
